symbol,expiration_date,call_volume,put_volume,put_call_ratio,call_open_interest,put_open_interest,data_source,timestamp
AAPL,2025-04-17,279950,400407,1.4302804072155741,575736,394061,yfinance,2025-04-16 23:51:14
MSFT,2025-04-17,63723,75217,1.1803744330932315,211070,148517,yfinance,2025-04-16 23:51:15
TSLA,2025-04-17,672049,784168,1.1668315851969127,839913,724203,yfinance,2025-04-16 23:51:16
GME,2025-04-17,68487,24865,0.3630616029319433,278655,95461,yfinance,2025-04-16 23:51:16
AMC,2025-04-17,7671,1339,0.17455351323165166,99279,11871,yfinance,2025-04-16 23:51:17
