Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2025-04-09 00:00:00-04:00,171.9499969482422,200.61000061035156,171.88999938964844,198.85000610351562,184395900,0.0,0.0,AAPL
2025-04-10 00:00:00-04:00,189.07000732421875,194.77999877929688,183.0,190.4199981689453,121880000,0.0,0.0,AAPL
2025-04-11 00:00:00-04:00,186.10000610351562,199.5399932861328,186.05999755859375,198.14999389648438,87435900,0.0,0.0,AAPL
2025-04-14 00:00:00-04:00,211.44000244140625,212.94000244140625,201.16000366210938,202.52000427246094,101352900,0.0,0.0,AAPL
2025-04-15 00:00:00-04:00,201.86000061035156,203.50999450683594,199.8000030517578,202.13999938964844,51343900,0.0,0.0,AAPL
2025-04-09 00:00:00-04:00,353.5400085449219,393.2300109863281,353.1000061035156,390.489990234375,50199700,0.0,0.0,MSFT
2025-04-10 00:00:00-04:00,382.05999755859375,383.8999938964844,367.79998779296875,381.3500061035156,38024400,0.0,0.0,MSFT
2025-04-11 00:00:00-04:00,380.6400146484375,390.04998779296875,378.8900146484375,388.45001220703125,23839200,0.0,0.0,MSFT
2025-04-14 00:00:00-04:00,393.2200012207031,394.6499938964844,384.2099914550781,387.80999755859375,19251200,0.0,0.0,MSFT
2025-04-15 00:00:00-04:00,388.510009765625,391.8900146484375,384.1600036621094,385.7300109863281,17199900,0.0,0.0,MSFT
2025-04-09 00:00:00-04:00,224.69000244140625,274.69000244140625,223.8800048828125,272.20001220703125,219433400,0.0,0.0,TSLA
2025-04-10 00:00:00-04:00,260.0,262.489990234375,239.3300018310547,252.39999389648438,181722600,0.0,0.0,TSLA
2025-04-11 00:00:00-04:00,251.83999633789062,257.739990234375,241.36000061035156,252.30999755859375,128948100,0.0,0.0,TSLA
2025-04-14 00:00:00-04:00,258.3599853515625,261.79998779296875,245.92999267578125,252.35000610351562,100135200,0.0,0.0,TSLA
2025-04-15 00:00:00-04:00,249.91000366210938,258.75,247.5399932861328,254.11000061035156,79594300,0.0,0.0,TSLA
2025-04-09 00:00:00-04:00,23.030000686645508,25.459999084472656,23.030000686645508,25.399999618530273,17695900,0.0,0.0,GME
2025-04-10 00:00:00-04:00,25.0,26.200000762939453,24.40999984741211,25.020000457763672,11545400,0.0,0.0,GME
2025-04-11 00:00:00-04:00,25.5,26.440000534057617,25.25,26.399999618530273,10984100,0.0,0.0,GME
2025-04-14 00:00:00-04:00,26.65999984741211,27.18000030517578,25.68000030517578,26.979999542236328,10628400,0.0,0.0,GME
2025-04-15 00:00:00-04:00,26.8799991607666,27.3799991607666,26.6200008392334,26.700000762939453,6738100,0.0,0.0,GME
2025-04-09 00:00:00-04:00,2.630000114440918,2.930000066757202,2.619999885559082,2.890000104904175,12893600,0.0,0.0,AMC
2025-04-10 00:00:00-04:00,2.8399999141693115,2.950000047683716,2.7899999618530273,2.9200000762939453,8195100,0.0,0.0,AMC
2025-04-11 00:00:00-04:00,2.930000066757202,2.9700000286102295,2.859999895095825,2.950000047683716,6018800,0.0,0.0,AMC
2025-04-14 00:00:00-04:00,2.9700000286102295,3.0,2.8499999046325684,2.880000114440918,6260500,0.0,0.0,AMC
2025-04-15 00:00:00-04:00,2.880000114440918,2.9600000381469727,2.859999895095825,2.9600000381469727,5017100,0.0,0.0,AMC
