symbol,short_interest,short_percent_of_float,days_to_cover,total_shares,float_shares,data_source,timestamp
AAPL,112333139,0.75,2.11,15022100480,14998037683,yfinance,2025-04-14 20:29:54
MSFT,50168012,0.6799999999999999,2.1,7433979904,7423500320,yfinance,2025-04-14 20:29:55
TSLA,76463964,2.73,0.59,3216519936,2799173951,yfinance,2025-04-14 20:29:56
GME,47564164,12.75,3.62,447084000,408344154,yfinance,2025-04-14 20:29:57
AMC,48494766,11.25,6.12,431950016,429867802,yfinance,2025-04-14 20:29:58
